,info
626,24kGoldn-Mood (feat. iann dior)-2020
672,24kGoldn-Mood (feat. iann dior)-2021
31,3OH!3-My First Kiss - feat. Ke$ha-2010
229,5 Seconds of Summer-She Looks So Perfect-2014
249,A Great Big World-Say Something-2014
37,Adam Lambert-If I Had You-2010
21,Adam Lambert-Whataya Want from Me-2010
398,Adele-All I Ask-2016
473,Adele-All I Ask-2017
295,Adele-Hello-2015
442,Adele-Million Years Ago-2016
55,Adele-Rolling in the Deep-2011
417,Adele-Send My Love (To Your New Lover)-2016
112,Adele-Set Fire to the Rain-2012
52,Adele-Someone Like You-2011
504,Adele-Water Under the Bridge-2017
420,Adele-When We Were Young-2016
479,Alan Walker-Tired-2017
315,Alessia Cara-Here-2015
404,Alessia Cara-Here-2016
476,"Alessia Cara-How Far I'll Go - From ""Moana""-2017"
375,Alessia Cara-Scars To Your Beautiful-2016
340,Alesso-Heroes (we could be)-2015
41,Alicia Keys-Doesn't Mean Anything-2010
8,Alicia Keys-Empire State of Mind (Part II) Broken Down-2010
187,Alicia Keys-Girl On Fire (feat. Nicki Minaj) - Inferno Version-2013
265,Alicia Keys-It's On Again - Main Soundtrack-2014
34,Alicia Keys-Try Sleeping with a Broken Heart-2010
351,Alicia Keys-We Are Here-2015
546,Ansel Elgort-Supernova-2018
700,Ariana Grande-34+35-2021
291,Ariana Grande-Break Free-2015
381,Ariana Grande-Dangerous Woman-2016
323,Ariana Grande-Focus-2015
368,Ariana Grande-Into You-2016
287,Ariana Grande-Love Me Harder-2015
221,Ariana Grande-Problem-2014
451,Ariana Grande-Side To Side-2017
649,Ariana Grande-Stuck with U (with Justin Bieber)-2020
171,Ariana Grande-The Way-2013
513,Ariana Grande-no tears left to cry-2018
683,Ariana Grande-positions-2021
614,Arizona Zervas-ROXANNE-2020
238,Austin Mahone-Mmm Yeah (feat. Pitbull)-2014
193,Austin Mahone-What About Love-2013
327,Avicii-Broken Arrows-2015
217,Avicii-Hey Brother-2014
140,Avicii-Wake Me Up-2013
181,Avril Lavigne-Rock N Roll-2013
61,Avril Lavigne-What the Hell-2011
636,BENEE-Supalonely (feat. Gus Dapperton)-2020
668,BTS-Butter-2021
635,BTS-Dynamite-2020
674,BTS-Dynamite-2021
664,Bad Bunny-DÁKITI-2021
688,Bad Bunny-LA NOCHE DE ANOCHE-2021
646,Bad Bunny-Safaera-2020
675,Bad Bunny-Yonaguni-2021
222,Bastille-Pompeii-2014
566,Bebe Rexha-Ferrari-2018
414,Bebe Rexha-I Got You-2016
87,Beyoncé-1+1-2011
297,Beyoncé-43776-2015
65,Beyoncé-Best Thing I Never Had-2011
256,Beyoncé-Drunk in Love-2014
58,Beyoncé-Love On Top-2011
241,Beyoncé-Partition-2014
56,Beyoncé-Run the World (Girls)-2011
253,Beyoncé-XO-2014
629,Billie Eilish-bad guy-2020
627,Billie Eilish-everything i wanted-2020
647,Billie Eilish-lovely (with Khalid)-2020
426,Birdy-Keeping Your Head Up-2016
255,Birdy-Not About Angels-2014
260,Birdy-Tee Shirt - Soundtrack Version-2014
246,Birdy-Wings-2014
261,Birdy-Words as Weapons-2014
644,Black Eyed Peas-RITMO (Bad Boys For Life)-2020
30,Britney Spears-3-2010
438,Britney Spears-Do You Wanna Come Over?-2016
88,Britney Spears-Hold It Against Me-2011
79,Britney Spears-I Wanna Go-2011
434,Britney Spears-Invitation-2016
425,Britney Spears-Make Me... (feat. G-Eazy)-2016
202,"Britney Spears-Ooh La La (from ""The Smurfs 2"")-2013"
