,artist_name,track_name,year,energy,danceability,loudness,acousticness,speechiness,liveness,valence,bpm,duration
0,Train,"Hey, Soul Sister",2010,0.089,0.067,-0.004,0.00019,0.0004,0.0008,0.08,0.097,217.0
1,Eminem,Love The Way You Lie,2010,0.093,0.075,-0.005,0.00024,0.0023,0.0052,0.064,0.087,263.0
2,Kesha,TiK ToK,2010,0.084,0.076,-0.003,1e-04,0.0014,0.0029,0.071,0.12,200.0
3,Lady Gaga,Bad Romance,2010,0.092,0.07,-0.004,0.0,0.0004,0.0008,0.071,0.119,295.0
4,Bruno Mars,Just the Way You Are,2010,0.084,0.064,-0.005,2e-05,0.0004,0.0009,0.043,0.109,221.0
5,Justin Bieber,Baby,2010,0.086,0.073,-0.005,4e-05,0.0014,0.0011,0.054,0.065,214.0
6,Taio Cruz,Dynamite,2010,0.078,0.075,-0.004,0.0,0.0009,0.0004,0.082,0.12,203.0
7,OneRepublic,Secrets,2010,0.076,0.052,-0.006,7e-05,0.0004,0.0012,0.038,0.148,225.0
8,Alicia Keys,Empire State of Mind (Part II) Broken Down,2010,0.037,0.048,-0.008,0.00074,0.0003,0.0012,0.014,0.093,216.0
9,Rihanna,Only Girl (In The World),2010,0.072,0.079,-0.004,0.00013,0.0004,0.0007,0.061,0.126,235.0
10,Flo Rida,Club Can't Handle Me (feat. David Guetta),2010,0.087,0.062,-0.004,3e-05,0.0003,0.0006,0.047,0.128,235.0
11,Bruno Mars,Marry You,2010,0.083,0.062,-0.005,0.00033,0.0004,0.001,0.048,0.145,230.0
12,Mike Posner,Cooler Than Me - Single Mix,2010,0.082,0.077,-0.005,0.00018,0.0005,0.007,0.063,0.13,213.0
13,Lady Gaga,Telephone,2010,0.083,0.083,-0.006,1e-05,0.0004,0.0011,0.071,0.122,221.0
14,Far East Movement,Like A G6,2010,0.084,0.044,-0.008,1e-05,0.0045,0.0012,0.078,0.125,217.0
15,Usher,OMG (feat. will.i.am),2010,0.075,0.078,-0.006,0.0002,0.0003,0.0036,0.033,0.13,269.0
16,Sean Kingston,Eenie Meenie,2010,0.061,0.072,-0.004,5e-05,0.0003,0.0011,0.083,0.121,202.0
17,The Black Eyed Peas,The Time (Dirty Bit),2010,0.081,0.082,-0.008,7e-05,0.0007,0.006,0.044,0.128,308.0
18,Lady Gaga,Alejandro,2010,0.08,0.063,-0.007,0.0,0.0005,0.0036,0.037,0.099,274.0
19,Kesha,Your Love Is My Drug,2010,0.061,0.083,-0.004,1e-05,0.001,0.0009,0.076,0.12,187.0
20,The Black Eyed Peas,Meet Me Halfway,2010,0.063,0.08,-0.007,0.0,0.0007,0.0032,0.04,0.13,284.0
21,Adam Lambert,Whataya Want from Me,2010,0.068,0.044,-0.005,1e-05,0.0005,0.0006,0.045,0.186,227.0
22,Kesha,Take It Off,2010,0.068,0.073,-0.005,0.0,0.0003,0.0009,0.074,0.125,215.0
23,Maroon 5,Misery,2010,0.081,0.07,-0.005,0.0,0.0004,0.0022,0.073,0.103,216.0
24,OneRepublic,All The Right Moves,2010,0.095,0.053,-0.004,0.00026,0.0005,0.0028,0.065,0.146,238.0
25,Neon Trees,Animal,2010,0.083,0.048,-0.006,0.0,0.0004,0.0038,0.074,0.148,212.0
26,Selena Gomez & The Scene,Naturally,2010,0.09,0.061,-0.005,2e-05,0.0005,0.0005,0.088,0.133,203.0
27,Enrique Iglesias,I Like It,2010,0.094,0.065,-0.003,2e-05,0.0009,0.0006,0.073,0.129,231.0
28,Katy Perry,Teenage Dream,2010,0.08,0.072,-0.005,2e-05,0.0004,0.0013,0.059,0.12,228.0
29,Katy Perry,California Gurls,2010,0.075,0.079,-0.004,0.0,0.0005,0.0018,0.04,0.125,235.0
30,Britney Spears,3,2010,0.071,0.07,-0.002,5e-05,0.0005,0.0014,0.079,0.135,213.0
31,3OH!3,My First Kiss - feat. Ke$ha,2010,0.089,0.068,-0.004,1e-05,0.0008,0.0036,0.083,0.138,192.0
32,Kesha,Blah Blah Blah (feat. 3OH!3),2010,0.084,0.075,-0.003,8e-05,0.0012,0.0042,0.052,0.12,172.0
33,The Black Eyed Peas,Imma Be,2010,0.052,0.06,-0.007,0.00018,0.0037,0.0031,0.041,0.092,258.0
34,Alicia Keys,Try Sleeping with a Broken Heart,2010,0.082,0.05,-0.005,0.00016,0.0011,0.0013,0.055,0.111,249.0
35,David Guetta,Sexy Bitch (feat. Akon),2010,0.063,0.081,-0.005,8e-05,0.0005,0.0013,0.08,0.13,196.0
36,Christina Aguilera,Bound To You - Burlesque Original Motion Picture Soundtrack,2010,0.041,0.029,-0.005,0.00083,0.0003,0.0013,0.007,0.164,264.0
37,Adam Lambert,If I Had You,2010,0.091,0.065,-0.004,1e-05,0.0011,0.0037,0.079,0.131,228.0
38,The Black Eyed Peas,Rock That Body,2010,0.091,0.072,-0.006,2e-05,0.001,0.0043,0.084,0.125,269.0
39,Florence + The Machine,Dog Days Are Over,2010,0.081,0.05,-0.005,3e-05,0.0009,0.0012,0.026,0.15,253.0
40,Christina Aguilera,Something's Got A Hold On Me - Burlesque Original Motion Picture Soundtrack,2010,0.085,0.051,-0.004,0.00047,0.0027,0.0012,0.072,0.15,185.0
41,Alicia Keys,Doesn't Mean Anything,2010,0.041,0.071,-0.007,4e-05,0.0003,0.001,0.01,0.104,273.0
42,Rihanna,Hard,2010,0.075,0.031,-0.004,1e-05,0.0011,0.0065,0.016,0.182,251.0
43,Shakira,Loca,2010,0.087,0.08,-0.004,0.00019,0.0007,0.0009,0.085,0.112,193.0
44,Christina Aguilera,You Lost Me,2010,0.039,0.023,-0.006,0.00085,0.0004,0.0014,0.007,0.043,257.0
45,Christina Aguilera,Not Myself Tonight,2010,0.081,0.076,-0.005,0.0,0.0004,0.0056,0.054,0.12,186.0
46,Tinie Tempah,Written in the Stars (feat. Eric Turner),2010,0.095,0.064,-0.004,6e-05,0.0007,0.0018,0.057,0.091,220.0
47,Usher,DJ Got Us Fallin' In Love (feat. Pitbull),2010,0.086,0.066,-0.003,3e-05,0.0011,0.0008,0.065,0.12,221.0
48,T.I.,Castle Walls (feat. Christina Aguilera),2010,0.086,0.045,-0.005,7e-05,0.0039,0.0026,0.058,0.08,329.0
49,Taio Cruz,Break Your Heart,2010,0.09,0.067,-0.005,0.0,0.0003,0.0008,0.063,0.122,186.0
50,Martin Solveig,Hello,2010,0.098,0.067,-0.003,1e-05,0.0003,0.001,0.045,0.128,191.0
51,Christina Perri,A Thousand Years,2011,0.041,0.042,-0.007,0.00031,0.0003,0.0011,0.016,0.139,285.0
52,Adele,Someone Like You,2011,0.033,0.056,-0.008,0.00089,0.0003,0.001,0.028,0.135,285.0
53,Pitbull,Give Me Everything,2011,0.094,0.067,-0.003,0.00019,0.0016,0.003,0.053,0.129,252.0
54,Bruno Mars,Just the Way You Are,2011,0.084,0.064,-0.005,2e-05,0.0004,0.0009,0.043,0.109,221.0
55,Adele,Rolling in the Deep,2011,0.076,0.073,-0.005,0.00013,0.0003,0.0005,0.052,0.105,228.0
56,Beyoncé,Run the World (Girls),2011,0.09,0.073,-0.004,0.0,0.0014,0.0037,0.076,0.127,236.0
57,Maroon 5,Moves Like Jagger - Studio Recording From The Voice Performance,2011,0.076,0.072,-0.004,1e-05,0.0005,0.0032,0.062,0.128,201.0
58,Beyoncé,Love On Top,2011,0.075,0.065,-0.005,8e-05,0.0009,0.006,0.065,0.094,267.0
59,Bruno Mars,Grenade,2011,0.056,0.071,-0.007,0.00015,0.0006,0.0012,0.023,0.11,223.0
60,Hot Chelle Rae,Tonight Tonight,2011,0.078,0.069,-0.005,8e-05,0.0012,0.0016,0.081,0.1,200.0
61,Avril Lavigne,What the Hell,2011,0.093,0.058,-0.004,0.0,0.0005,0.0014,0.088,0.15,221.0
62,Lady Gaga,Born This Way,2011,0.083,0.059,-0.005,0.0,0.0016,0.0033,0.049,0.124,260.0
63,Kanye West,Monster,2011,0.069,0.063,-0.006,0.0,0.002,0.0067,0.01,0.125,379.0
64,Bruno Mars,Marry You,2011,0.083,0.062,-0.005,0.00033,0.0004,0.001,0.048,0.145,230.0
65,Beyoncé,Best Thing I Never Had,2011,0.065,0.055,-0.004,0.00014,0.0003,0.0009,0.03,0.099,254.0
66,LMFAO,Party Rock Anthem,2011,0.074,0.075,-0.004,2e-05,0.0016,0.0027,0.035,0.13,262.0
67,Kesha,We R Who We R,2011,0.082,0.074,-0.005,1e-05,0.0004,0.0012,0.065,0.12,205.0
68,Jessie J,Price Tag,2011,0.083,0.064,-0.004,3e-05,0.0018,0.0027,0.068,0.175,223.0
69,OneRepublic,Good Life,2011,0.069,0.063,-0.008,8e-05,0.0005,0.0013,0.065,0.095,253.0
70,The Black Eyed Peas,Just Cant Get Enough,2011,0.063,0.066,-0.009,0.00019,0.0018,0.0011,0.026,0.094,219.0
71,Jennifer Lopez,On The Floor,2011,0.078,0.073,-0.005,0.00011,0.0005,0.0007,0.057,0.13,285.0
72,Rihanna,What's My Name?,2011,0.079,0.069,-0.003,0.00023,0.0007,0.0008,0.058,0.1,263.0
73,Chris Brown,Yeah 3x,2011,0.088,0.071,-0.003,0.0,0.0004,0.0009,0.07,0.13,242.0
74,David Guetta,Without You (feat. Usher),2011,0.061,0.061,-0.004,0.00023,0.0003,0.0016,0.04,0.128,208.0
75,LMFAO,Sexy And I Know It,2011,0.086,0.071,-0.004,1e-04,0.0032,0.0019,0.08,0.13,199.0
76,Lady Gaga,The Edge Of Glory,2011,0.077,0.058,-0.006,0.0,0.0004,0.0011,0.036,0.128,321.0
77,Katy Perry,E.T.,2011,0.087,0.062,-0.005,2e-05,0.0018,0.0037,0.076,0.152,230.0
78,Britney Spears,Till the World Ends,2011,0.071,0.069,-0.006,2e-05,0.0007,0.002,0.045,0.132,238.0
79,Britney Spears,I Wanna Go,2011,0.055,0.07,-0.007,0.0,0.0004,0.0033,0.079,0.13,210.0
80,Kesha,Blow,2011,0.073,0.075,-0.004,0.0,0.0004,0.0007,0.081,0.12,220.0
81,Lady Gaga,You And I,2011,0.07,0.052,-0.005,9e-05,0.0005,0.0009,0.052,0.127,307.0
82,Lady Gaga,Judas,2011,0.093,0.066,-0.004,0.0,0.0007,0.0027,0.053,0.131,249.0
83,Enrique Iglesias,Tonight (I'm Fuckin' You),2011,0.089,0.065,-0.004,3e-05,0.0005,0.0012,0.032,0.126,232.0
84,Mike Posner,Please Don't Go,2011,0.088,0.07,-0.004,0.0,0.0003,0.0013,0.066,0.12,197.0
85,Rihanna,We Found Love,2011,0.077,0.073,-0.004,3e-05,0.0004,0.0011,0.06,0.128,215.0
86,Lady Gaga,Marry The Night,2011,0.088,0.061,-0.004,0.0,0.0006,0.0046,0.038,0.131,265.0
87,Beyoncé,1+1,2011,0.038,0.03,-0.007,0.00038,0.0003,0.0007,0.026,0.063,274.0
88,Britney Spears,Hold It Against Me,2011,0.072,0.065,-0.005,1e-05,0.0004,0.0024,0.039,0.133,229.0
89,Jennifer Lopez,I'm Into You,2011,0.075,0.059,-0.004,2e-05,0.0014,0.0008,0.07,0.084,200.0
90,Jennifer Lopez,Papi,2011,0.081,0.071,-0.005,0.00013,0.0006,0.0037,0.089,0.12,223.0
91,Rihanna,Cheers (Drink To That),2011,0.091,0.058,-0.004,2e-05,0.0004,0.0029,0.073,0.08,262.0
92,Rihanna,S&M Remix,2011,0.081,0.082,-0.003,5e-05,0.0005,0.0005,0.089,0.128,257.0
93,Tinie Tempah,Written in the Stars (feat. Eric Turner),2011,0.095,0.064,-0.004,6e-05,0.0007,0.0018,0.057,0.091,220.0
94,Christina Perri,Jar of Hearts,2011,0.035,0.035,-0.006,0.00073,0.0003,0.0012,0.009,0.075,247.0
95,T.I.,Castle Walls (feat. Christina Aguilera),2011,0.086,0.045,-0.005,7e-05,0.0039,0.0026,0.058,0.08,329.0
96,Sleeping At Last,Turning Page,2011,0.038,0.03,-0.008,0.00091,0.0003,0.0011,0.019,0.125,255.0
97,Nicki Minaj,Super Bass,2011,0.074,0.077,-0.007,6e-05,0.0023,0.004,0.059,0.127,201.0
98,P!nk,Raise Your Glass,2011,0.064,0.068,-0.007,0.0,0.0012,0.0012,0.056,0.122,208.0
99,Jennifer Lopez,Invading My Mind,2011,0.088,0.073,-0.004,2e-05,0.0007,0.0032,0.069,0.129,201.0
100,Nicki Minaj,Moment 4 Life - Album Version (Edited),2011,0.088,0.05,-0.004,0.00039,0.0038,0.0022,0.037,0.13,279.0
