,track_name,artist_name,album,reproductions_in_millions,publication_date
0,Shape of You,Ed Sheeran,÷,3.272,6 de enero de 2017
1,Blinding Lights,The Weeknd,After Hours,3.22,29 de noviembre de 2019
2,Dance Monkey,Tones and I,The Kids Are Coming y Welcome to the Madhouse,2.682,10 de mayo de 2019
3,Rockstar,"Post Malone, 21 Savage",Beerbongs & Bentleys,2.529,15 de septiembre de 2017
4,Someone You Loved,Lewis Capaldi,Breach y Divinely Uninspired to a Hellish Extent,2.52,8 de noviembre de 2018
5,One Dance,"Drake, Wizkid y Kyla",Views,2.442,5 de abril de 2016
6,Closer,"The Chainsmokers, Halsey",Collage,2.389,29 de julio de 2016
7,Sunflower,"Post Malone, Swae Lee",Spider-Man: Into the Spider-Verse y Hollywood's Bleeding,2.458,18 de octubre de 2018
8,Señorita,"Shawn Mendes, Camila Cabello",Shawn Mendes y Romance,2.258,21 de junio de 2019
9,Believer,Imagine Dragons,Evolve,2.258,1 de febrero de 2017
10,Perfect,Ed Sheeran,÷,2.202,3 de marzo de 2017
11,Stay,"The Kid Laroi, Justin Bieber",F*ck Love 3: Over You,2.18,9 de julio de 2021
12,Bad Guy,Billie Eilish,"When We All Fall Asleep, Where Do We Go?",2.196,29 de marzo de 2019
13,Say You Won't Let Go,James Arthur,Back from the Edge,2.142,9 de septiembre de 2016
14,Thinking Out Loud,Ed Sheeran,×,2.094,20 de junio de 2014
15,Lucid Dreams,Juice WRLD,Goodbye & Good Riddance,2.072,4 de mayo de 2018
16,Heat Waves,Glass Animals,Dreamland + Bonus Levels,2.071,29 de junio de 2020
17,Don't Start Now,Dua Lipa,Future Nostalgia,2.047,1 de noviembre de 2019
18,God's Plan,Drake,Scorpion,2.039,19 de enero de 2018
19,Starboy,"The Weeknd, Daft Punk",Starboy,2.015,21 de septiembre de 2016
20,Photograph,Ed Sheeran,×,1.988,20 de junio de 2014
21,Watermelon Sugar,Harry Styles,Fine Line,1.982,13 de diciembre de 2019
22,Lovely,"Billie Eilish, Khalid",Sencillo sin álbum,1.978,19 de abril de 2018
23,Bohemian Rhapsody,Queen,A Night at the Opera,1.955,31 de octubre de 1975
24,Something Just Like This,"The Chainsmokers, Coldplay",Memories...Do Not Open,1.947,22 de febrero de 2017
25,Shallow,"Lady Gaga, Bradley Cooper",A Star Is Born,1.923,27 de septiembre de 2018
26,Sad!,XXXTentacion,?,1.914,1 de marzo de 2018
27,Love Yourself,Justin Bieber,Purpose,1.906,9 de noviembre de 2015
28,Circles,Post Malone,Hollywood's Bleeding,1.879,30 de agosto de 2019
29,All of Me,John Legend,Love in the Future,1.873,12 de agosto de 2013
30,Take Me to Church,Hozier,Hozier,1.864,13 de septiembre de 2013
31,Thunder,Imagine Dragons,Evolve,1.831,27 de abril de 2017
32,7 Rings,Ariana Grande,"Thank U, Next",1.824,18 de enero de 2019
33,Goosebumps,Travis Scott,Birds in the Trap Sing McKnight,1.823,2 de septiembre de 2016
34,Jocelyn Flores,XXXTentacion,17,1.822,25 de agosto de 2017
35,Havana,"Camila Cabello, Young Thug",Camila,1.813,3 de agosto de 2017
36,XO Tour Llif3,Lil Uzi Vert,Luv Is Rage 2,1.774,24 de marzo de 2017
37,Stressed Out,Twenty One Pilots,Blurryface,1.766,28 de abril de 2015
38,Sweater Weather,The Neighbourhood,I Love You,1.765,28 de marzo de 2012
39,New Rules,Dua Lipa,Dua Lipa,1.761,2 de junio de 2017
40,Happier,"Marshmello, Bastille",Sencillo sin álbum,1.746,17 de agosto de 2018
41,Sicko Mode,Travis Scott,Astroworld,1.727,3 de agosto de 2018
42,Humble,Kendrick Lamar,Damn,1.723,30 de marzo de 2017
43,Let Her Go,Passenger,All the Little Lights,1.715,24 de febrero de 2012
44,Wake Me Up,"Avicii, Aloe Blacc",True,1.707,17 de junio de 2013
45,Counting Stars,OneRepublic,Native,1.71,25 de marzo de 2013
46,Sorry,Justin Bieber,Purpose,1.691,22 de octubre de 2015
47,Riptide,Vance Joy,Dream Your Life Away,1.676,21 de mayo de 2013
48,Lean On,"Major Lazer, DJ Snake, MØ",Peace Is the Mission y Major Lazer Essentials,1.675,2 de marzo de 2015
49,Roses - Imanbek Remix,"SAINt JHN, Imanbek",While the World Was Burning,1.664,18 de septiembre de 2019
50,Let Me Love You,"Dj Snake, Justin Bieber",Encore,1.665,5 de agosto de 2016
51,The Hills,The Weeknd,Beauty Behind the Madness,1.658,27 de mayo de 2015
52,Better Now,Post Malone,Beerbongs & Bentleys,1.653,27 de abril de 2018
53,Good 4 u,Olivia Rodrigo,SOUR,1.643,14 de mayo de 2021
54,Congratulations,"Post Malone, Quavo",Stoney,1.638,4 de noviembre de 2016
55,Can't Hold Us,"Macklemore & Ryan Lewis, Ray Dalton",The Heist,1.649,16 de agosto de 2011
56,Faded,Alan Walker,Different World,1.637,3 de diciembre de 2015
57,Treat You Better,Shawn Mendes,Illuminate,1.627,3 de junio de 2016
58,Don't Let Me Down,"The Chainsmokers, Daya",Collage,1.613,5 de febrero de 2016
59,I Don't Care,"Ed Sheeran,Justin Bieber",No.6 Collaborations Project,1.61,10 de mayo de 2019
60,Drivers License,Olivia Rodrigo,SOUR,1.614,8 de enero de 2021
61,One Kiss,"Calvin Harris, Dua Lipa",Dua Lipa,1.613,6 de abril de 2018
62,Stay with Me,Sam Smith,In the Lonely Hour,1.612,14 de abril de 2014
63,I Took a Pill in Ibiza (Seeb Remix),"Mike Posner, Seeb","At Night, Alone",1.608,14 de abril de 2015
64,Without Me,Halsey,Manic,1.602,4 de octubre de 2018
65,Uptown Funk,"Mark Ronson, Bruno Mars",Uptown Special,1.6,10 de noviembre de 2014
66,"Thank U, Next",Ariana Grande,"Thank U, Next",1.585,3 de noviembre de 2018
67,Memories,Maroon 5,Jordi (Deluxe),1.577,20 de septiembre de 2019
68,Too Good at Goodbyes,Sam Smith,The Thrill of it All,1.573,8 de septiembre de 2017
69,Despacito (Remix),"Luis Fonsi, Daddy Yankee, Justin Bieber",Vida,1.573,17 de abril de 2017
70,Mr. Brightside,The Killers,Hot Fuss,1.564,7 de junio de 2004
71,Mood,"24kGoldn, Iann Dior",El Dorado,1.558,24 de julio de 2020
72,Demons,Imagine Dragons,Night Visions,1.551,4 de septiembre de 2012
73,Industry Baby,Lil Nas X y Jack Harlow,Montero (álbum),1.55,23 de julio de 2021
74,Unforgettable,"French Montana, Swae Lee",Jungle Rules,1.549,7 de abril de 2017
75,Montero (Call Me by Your Name),Lil Nas X,MONTERO,1.545,26 de marzo de 2021
76,Lose Yourself,Eminem,Music from and Inspired by the Motion Picture 8 Mile,1.542,18 de julio de 2002
77,The Box,Roddy Ricch,Please Excuse Me for Being Antisocial,1.541,6 de diciembre de 2019
78,Moonlight,XXXTentacion,?,1.54,16 de marzo de 2018
79,Levitating,"Dua Lipa, DaBaby",Future Nostalgia,1.539,1 de octubre de 2020
80,Dakiti,"Bad Bunny, Jhay Cortez",El último tour del mundo,1.533,30 de octubre de 2020
81,Dynamite,BTS,Be,1.51,21 de agosto de 2020
82,That's What I Like,Bruno Mars,24K Magic,1.501,18 de noviembre de 2016
83,Wonderwall,Oasis,(What's the Story) Morning Glory?,1.501,30 de octubre de 1995
84,Cheap Thrills,Sia,This Is Acting,1.496,29 de enero de 2016
85,Do I Wanna Know?,Arctic Monkeys,AM,1.451,19 de junio de 2013
86,Girls Like You,"Maroon 5, Cardi B",Red Pill Blues,1.474,30 de mayo de 2018
87,Stitches,Shawn Mendes,Handwritten,1.473,14 de abril de 2015
88,See You Again,"Wiz Khalifa, Charlie Puth",Furious 7: Original Motion Picture Soundtrack,1.469,10 de marzo de 2015
89,As It Was,"Harry Styles,",Harry's House,1.468,1 de abril de 2022
90,I Like Me Better,Lauv,I Met You When I Was 18 (The Playlist),1.468,19 de mayo de 2017
91,7 Years,Lukas Graham,Lukas Graham,1.466,16 de junio de 2015
92,Despacito,"Luis Fonsi, Daddy Yankee",Vida,1.464,12 de enero de 2017
93,There's Nothing Holdin' Me Back,Shawn Mendes,Illuminate,1.464,20 de abril de 2017
94,'Till I Collapse,"Eminem, Nate Dogg",The Eminem Show,1.461,26 de mayo de 2002
95,I'm Yours,Jason Mraz,I'm Yours,1.457,11 de febrero de 2008
96,Youngblood,5 Seconds of Summer,Youngblood,1.446,12 de abril de 2018
97,Sugar,Maroon 5,V,1.446,29 de agosto de 2014
98,Can't Stop the Feeling!,Justin Timberlake,Trolls: Original Motion Picture Soundtrack,1.439,6 de mayo de 2016
99,Heathens,Twenty One Pilots,Suicide Squad: The Album,1.432,16 de junio de 2016
